,county,days_not_enough_sleep,education,employment,gender,general_health,geographic_stratum,hours_slept,income,life_satisfaction,state
0,,188,4,1,1,3,17,7,,1,13
1,,115,3,7,2,4,17,10,,2,13
2,,188,5,7,1,3,17,9,,2,13
3,,288,4,7,1,2,17,8,,1,13
4,,188,4,1,2,1,17,6,,2,13
5,,188,3,7,1,2,03,7,,2,13
6,,130,4,7,1,5,17,5,,1,13
7,,103,3,1,2,3,17,5,,1,13
8,,101,5,5,2,3,17,8,,2,13
9,,130,2,7,1,5,17,4,,2,13
10,,110,4,7,2,3,17,8,,1,13
11,,110,4,1,2,3,17,7,,1,13
12,,105,5,2,1,3,17,7,,2,13
13,,188,4,1,1,3,17,7,,2,13
14,,188,4,5,2,3,15,6,,2,13
15,,188,5,7,1,3,10,12,,1,13
16,,188,4,1,1,3,10,8,,2,13
17,,288,2,7,1,4,10,8,,2,13
18,,488,4,7,1,2,10,6,,1,13
19,,188,5,1,2,2,10,8,,2,13
20,,105,5,3,1,2,10,6,,2,13
21,,102,6,5,2,3,10,8,,1,13
22,,188,4,5,2,2,10,8,,2,13
23,,115,5,1,2,3,10,8,,2,13
24,,188,6,2,1,3,10,8,,1,13
25,,388,2,8,2,4,10,9,,1,13
26,,203,5,7,1,4,10,7,,2,13
27,,188,4,7,1,3,10,10,,1,13
28,,102,4,1,2,3,10,9,,1,13
29,,288,4,1,2,3,10,9,,2,13
30,,108,6,1,1,2,10,7,,1,13
31,,215,5,1,1,1,10,6,,2,13
32,,102,6,2,1,2,10,7,,1,13
33,,188,4,8,2,4,10,7,,2,13
34,,103,6,1,2,2,10,8,,1,13
35,,230,5,1,1,2,10,6,,1,13
36,,104,4,1,1,2,10,7,,2,13
37,,188,2,7,1,4,10,10,,2,13
38,,188,4,7,2,2,10,6,,1,13
39,,288,5,2,1,1,10,7,,1,13
40,,115,6,1,2,2,15,7,,1,13
41,,202,6,1,1,3,15,7,,1,13
42,,188,4,7,1,3,01,8,,1,13
43,,177,4,8,2,5,15,7,,3,13
44,,188,5,2,2,2,01,8,,2,13
45,,188,6,7,1,1,02,7,,1,13
46,,188,4,2,1,3,17,8,,2,13
47,,116,6,2,1,1,17,6,,2,13
48,,188,5,1,2,4,17,6,,2,13
49,,112,6,7,2,4,17,7,,2,13
50,,277,4,8,2,1,10,77,,2,13
51,,107,6,8,2,5,16,7,,2,13
52,,188,5,1,2,3,17,8,,2,13
53,,103,6,1,2,2,17,7,,1,13
54,,788,5,1,2,2,17,8,,2,13
55,,188,5,1,2,1,17,8,,1,13
56,,402,5,1,2,3,17,8,,2,13
57,,188,5,7,2,3,09,12,,3,13
58,,110,4,5,2,3,17,5,,1,13
59,,188,5,7,1,3,17,7,,1,13
60,,105,3,1,2,3,17,8,,2,13
61,,188,4,7,1,2,17,8,,2,13
62,,130,2,7,2,3,09,3,,4,13
63,,188,4,5,2,3,17,7,,2,13
64,,104,5,1,2,3,17,6,,1,13
65,,177,5,7,2,2,17,8,,1,13
66,,188,3,7,2,1,17,6,,2,13
67,,116,4,8,1,5,17,16,,3,13
68,,130,4,1,1,5,17,6,,2,13
69,,202,6,2,1,2,17,7,,1,13
70,,188,3,8,2,3,17,8,,1,13
71,,188,4,8,2,2,17,8,,1,13
72,,188,5,4,1,3,17,8,,2,13
73,,208,4,4,1,3,17,7,,2,13
74,,105,6,1,2,1,02,7,,1,13
75,,188,6,1,2,3,13,8,,1,13
76,,177,3,8,2,5,01,8,,1,13
77,,102,4,3,1,3,13,6,,1,13
78,,103,6,1,2,2,13,7,,2,13
79,,228,5,1,2,2,13,6,,2,13
80,,121,3,5,2,3,06,10,,2,13
81,,104,6,1,2,3,13,7,,2,13
82,,115,6,6,1,4,06,6,,2,13
83,,107,5,2,1,3,06,4,,2,13
84,,114,2,8,2,5,17,5,,2,13
85,,102,2,3,1,3,17,5,,3,13
86,,103,5,8,2,3,17,7,,1,13
87,,103,2,8,2,4,17,8,,3,13
88,,130,4,1,2,3,17,4,,4,13
89,,188,4,7,2,4,17,8,,2,13
90,,430,6,1,1,4,11,6,,2,13
91,,388,5,1,1,2,11,7,,1,13
92,,104,4,1,1,3,11,14,,1,13
93,,188,3,7,1,3,11,7,,2,13
94,,424,4,1,1,2,11,7,,2,13
95,,188,6,7,2,4,11,8,,1,13
96,,320,4,1,1,4,11,6,,3,13
97,,330,2,7,1,3,11,77,,2,13
98,,402,4,2,2,3,13,8,,1,13
99,,102,5,7,2,3,13,8,,1,13
100,,188,4,1,1,3,13,7,,1,13
101,,430,3,1,2,3,13,3,,1,13
102,,188,5,1,2,2,13,7,,1,13
103,,188,4,1,1,2,13,9,,1,13
104,,115,3,8,1,3,15,6,,2,13
105,,101,4,7,2,1,13,8,,1,13
106,,110,5,1,1,2,13,5,,2,13
107,,305,2,4,1,3,13,6,,1,13
108,,177,6,1,2,2,15,7,,1,13
109,,203,4,1,1,1,13,7,,1,13
110,,101,6,1,1,2,13,6,,1,13
111,,188,6,1,2,3,13,9,,1,13
112,,107,5,6,2,3,15,6,,2,13
113,,110,5,7,2,3,10,7,,1,13
